epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,216.468,0.65868,0.4398,0.98901,0.33333,0.33086,0.41394,0.34606,0.60843,4.19727,0.95121,0.000848969,0.000848969,0.000848969
43,220.734,0.67799,0.44587,1.01503,0.33161,0.33333,0.43857,0.34766,0.60386,4.27542,0.95831,0.000834822,0.000834822,0.000834822
44,225.902,0.66839,0.45647,0.98908,0.33145,0.33333,0.40844,0.33546,0.61353,4.18642,0.97011,0.000820675,0.000820675,0.000820675
45,232.271,0.627,0.41231,0.98207,0.33122,0.33333,0.39614,0.31648,0.602,4.19379,0.97355,0.000806528,0.000806528,0.000806528
46,236.689,0.66569,0.42661,1.00168,0.33009,0.33333,0.39355,0.30834,0.61944,4.38034,0.97802,0.00079238,0.00079238,0.00079238
47,241.136,0.62016,0.41591,0.97548,0.32715,0.33333,0.39103,0.30223,0.6417,4.29711,0.99314,0.000778233,0.000778233,0.000778233
48,246.217,0.59677,0.41597,0.98149,0.33039,0.33333,0.4001,0.32945,0.63568,4.10039,0.99825,0.000764086,0.000764086,0.000764086
49,251.063,0.6512,0.4333,0.97266,0.33207,0.33333,0.40914,0.34289,0.61996,4.06327,0.98072,0.000749939,0.000749939,0.000749939
50,255.333,0.61502,0.40549,0.9811,0.33333,0.33171,0.39033,0.3334,0.57577,4.116,0.94851,0.000735792,0.000735792,0.000735792
51,259.761,0.59732,0.4377,0.99405,0.33055,0.33333,0.40156,0.33815,0.62162,4.02672,0.97339,0.000721645,0.000721645,0.000721645
52,264.441,0.58804,0.42266,0.96981,0.33151,0.33333,0.3914,0.33269,0.60849,3.94429,0.96445,0.000707498,0.000707498,0.000707498
53,269.09,0.62655,0.44891,0.95965,0.33156,0.33333,0.38005,0.31713,0.63513,4.11084,0.97122,0.000693351,0.000693351,0.000693351
54,273.512,0.65358,0.45229,1.00566,0.33141,0.33333,0.38603,0.32701,0.62025,4.17576,0.96165,0.000679204,0.000679204,0.000679204
55,277.826,0.59602,0.41826,0.96251,0.33137,0.33333,0.41922,0.35311,0.59503,4.16375,0.95998,0.000665057,0.000665057,0.000665057
56,282.591,0.60629,0.4234,0.97596,0.33141,0.33333,0.42818,0.36836,0.6257,4.26511,0.95888,0.000650909,0.000650909,0.000650909
57,289,0.58864,0.42229,0.9684,0.33145,0.33333,0.41942,0.36469,0.63572,4.26447,0.97637,0.000636762,0.000636762,0.000636762
58,293.682,0.53919,0.37604,0.95598,0.33157,0.33333,0.42698,0.3669,0.62062,4.24309,0.97737,0.000622615,0.000622615,0.000622615
59,298.038,0.57915,0.39861,0.97479,0.3313,0.33333,0.42529,0.36512,0.63872,4.35194,0.99039,0.000608468,0.000608468,0.000608468
60,303.918,0.5762,0.39461,0.95121,0.33098,0.33333,0.38047,0.32807,0.63663,4.39446,0.98077,0.000594321,0.000594321,0.000594321
